TransferSubject,TransferCourse,Transfer Title,TransferHours,TransferLevel,Connector,OU Subject,OU Course,OU Title,OUCredits,Gen. Ed.,Pass
ENGL,090,DEVL ENGLISH,3,Lower Division Course,,ENGL,0113,INTRO TO COLLEGE WRITING,3,,
ENGL,100,ENGLISH COMPOSITION PLUS,2,LOWER DIVISION,,ENGL,1999,LOWER DIVISION TRANSFER CREDIT,2,,
ENGL,101,ENGLISH COMPOSITION,3,Lower Division Course,,ENGL,1113,PRINCIPLES-ENGLISH COMPOSITION,3,Gen Ed-English Composition I,
ENGL,101F,ENGLISH COMP,3,Lower Division Course,,ENGL,1113,PRINCIPLES-ENGLISH COMPOSITION,3,Gen Ed-English Composition I,
ENGL,102,ENGLISH COMPOSITION,3,Lower Division Course,,ENGL,1213,PRINCIPLES-ENGLISH COMPOSITION,3,Gen Ed-English Composition II,
ENGL,102F,ENGL COMP,3,Lower Division Course,,ENGL,1213,PRINCIPLES-ENGLISH COMPOSITION,3,Gen Ed-English Composition II,
ENGL,105,CAD ENGR,2,Lower Division Course,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,2,,
ENGL,175,INTRO TO LITERATURE,3,LOWER DIVISION,,ENGL,2413,INTRODUCTION TO LITERATURE,3,Gen Ed-Artistic Forms,
ENGL,204,INTRO TO POETRY,3,LOWER DIVISION,,ENGL,2223,POETRY,3,Gen Ed-Artistic Forms,
ENGL,210,AMERICAN WESTERN LITERATURE,3,LOWER DIVISION,,ENGL,1999,LOWER DIVISION TRANSFER CREDIT,3,,
ENGL,211,SURVEY OF AMERICAN LIT I,3,LOWER DIVISION,,ENGL,2773,AMERICAN LITERATURE,3,Gen Ed-Western Culture,
ENGL,212,SURVEY OF AMERICAN LIT II,3,LOWER DIVISION,,ENGL,2883,AMERICAN LITERATURE,3,Gen Ed-Western Culture,
ENGL,215,SURV OF WORLD MYTH,3,LOWER DIVISION,,ENGL,1999,LOWER DIVISION TRANSFER CREDIT,3,,
ENGL,241,CREATIVE WRITING,3,Lower Division Course,,ENGL,2123,CREATIVE WRITING,3,,
ENGS,028,ESL GRAMMAR 3,3,Lower Division Course,,TRF,0999,REMEDIAL TRANSFER CREDIT,3,,
ENGS,028L,ESL GRAMMAR 3 LAB,0,Lower Division Course,,TRF,0999,REMEDIAL TRANSFER CREDIT,0,,
ENGS,104,ESL READ/WRITE III,3,Lower Division Course,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,3,,
ENGS,105,ESL LISTEN/SPEAK-CO,2,Lower Division Course,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,2,,
ENGS,105L,ESL LISTEN/SPEAK CO,0,Lower Division Course,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,0,,
ENVT,105,INTRO TO RENEWABLE ENERGY,2,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,2,,
ENVT,106,INTRO TO RENEWABLE ENERGY LAB,1,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,1,,
FINA,102,PERSONAL FINANCE,3,Lower Division Course,,FIN,1999,LOWER DIVISION TRANSFER CREDIT,3,,
FREN,101,ELEM FRENCH I,4,Lower Division Course,,FR,1115,BEGINNING FRENCH,4,Gen Ed-Foreign Language,
FREN,102,ELEM FRENCH II,4,Lower Division Course,,FR,1225,BEGINNING FRENCH (CONTINUED),4,Gen Ed-Foreign Language,
GEOG,100,PHYS GEOGRAPHY W/LAB,4,LOWER DIVISION,,GEOG,1114,PHYSICAL GEOGRAPHY,4,Gen Ed-Natural Science w/lab,
GEOG,102,CULTURAL GEOGRAPHY,3,Lower Division Course,,GEOG,1103,HUMAN GEOGRAPHY,3,Gen Ed-Western Culture,
GEOG,105,WORLD REGIONAL GEOG,3,Lower Division Course,,GEOG,2603,WORLD REGIONAL GEOGRAPHY,3,Gen Ed-Western Culture,
GEOG,200,WORLD REGIONAL GEOG,3,Lower Division Course,,GEOG,2603,WORLD REGIONAL GEOGRAPHY,3,Gen Ed-Western Culture,
GEOL,101,PHYSICAL GEOLOGY,4,Lower Division Course,,GEOL,1114,PHYSICAL GEOLOGY-SCI & ENGR,4,Gen Ed-Natural Science w/lab,
GEOL,109,PHYSICAL GEOLOGY,4,Lower Division Course,,GEOL,1114,PHYSICAL GEOLOGY-SCI & ENGR,4,Gen Ed-Natural Science w/lab,
GNED,101,INTRO TO GEN ED,3,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,3,,
HACT,119,YOGA,1,LOWER DIVISION,,HES,1041,YOGA,1,,
